SalesOrder,SalesOrderItem,OrderDate,RequestedDeliveryDate,Customer,CustomerName,Material,MaterialDescription,OrderQuantity,Unit,NetPrice,Currency,Plant,SalesOrganization,DistributionChannel,Division,SalesOrderType,CreatedBy,DeliveryStatus,BillingStatus
SO-10001,10,2024-01-15,2024-01-25,CUST-001,Acme Corporation,MAT-1001,Laptop Dell Latitude 5420,10,EA,1299.00,USD,P001,SO01,DC01,DIV01,OR,USER001,Delivered,Billed
SO-10001,20,2024-01-15,2024-01-25,CUST-001,Acme Corporation,MAT-1002,Wireless Mouse Logitech,10,EA,25.99,USD,P001,SO01,DC01,DIV01,OR,USER001,Delivered,Billed
SO-10002,10,2024-01-16,2024-01-28,CUST-002,Tech Solutions Ltd,MAT-2001,Server HP ProLiant DL380,2,EA,5499.00,USD,P002,SO01,DC01,DIV01,OR,USER002,In Transit,Not Billed
SO-10002,20,2024-01-16,2024-01-28,CUST-002,Tech Solutions Ltd,MAT-2002,Network Switch Cisco 48-port,4,EA,899.00,USD,P002,SO01,DC01,DIV01,OR,USER002,In Transit,Not Billed
SO-10003,10,2024-01-17,2024-02-01,CUST-003,Global Industries Inc,MAT-3001,Desktop Monitor 27 inch,25,EA,349.99,USD,P001,SO01,DC01,DIV01,OR,USER001,Partially Delivered,Partially Billed
SO-10003,20,2024-01-17,2024-02-01,CUST-003,Global Industries Inc,MAT-3002,Keyboard Mechanical RGB,25,EA,89.99,USD,P001,SO01,DC01,DIV01,OR,USER001,Partially Delivered,Partially Billed
SO-10004,10,2024-01-18,2024-01-30,CUST-004,Innovate Systems,MAT-1003,Laptop MacBook Pro 16,5,EA,2499.00,USD,P003,SO02,DC01,DIV01,OR,USER003,Processing,Not Billed
SO-10004,20,2024-01-18,2024-01-30,CUST-004,Innovate Systems,MAT-1004,External SSD 2TB,5,EA,199.99,USD,P003,SO02,DC01,DIV01,OR,USER003,Processing,Not Billed
SO-10005,10,2024-01-19,2024-02-05,CUST-005,Enterprise Solutions GmbH,MAT-4001,Printer LaserJet Enterprise,3,EA,799.00,EUR,P004,SO03,DC02,DIV01,OR,USER004,Confirmed,Not Billed
SO-10005,20,2024-01-19,2024-02-05,CUST-005,Enterprise Solutions GmbH,MAT-4002,Toner Cartridge Black,12,EA,89.99,EUR,P004,SO03,DC02,DIV01,OR,USER004,Confirmed,Not Billed
SO-10006,10,2024-01-20,2024-02-08,CUST-006,Digital Ventures Ltd,MAT-5001,Tablet iPad Pro 12.9,15,EA,1099.00,GBP,P005,SO04,DC03,DIV02,OR,USER005,Processing,Not Billed
SO-10006,20,2024-01-20,2024-02-08,CUST-006,Digital Ventures Ltd,MAT-5002,Stylus Apple Pencil,15,EA,129.00,GBP,P005,SO04,DC03,DIV02,OR,USER005,Processing,Not Billed
SO-10007,10,2024-01-21,2024-02-10,CUST-007,Smart Tech Asia,MAT-6001,Smartphone Samsung Galaxy S23,20,EA,899.99,USD,P006,SO01,DC01,DIV02,OR,USER001,Confirmed,Not Billed
SO-10007,20,2024-01-21,2024-02-10,CUST-007,Smart Tech Asia,MAT-6002,Phone Case Protective,20,EA,29.99,USD,P006,SO01,DC01,DIV02,OR,USER001,Confirmed,Not Billed
SO-10008,10,2024-01-22,2024-02-12,CUST-008,Cloud Services Pro,MAT-7001,Workstation Dell Precision,8,EA,3299.00,USD,P002,SO01,DC01,DIV01,OR,USER002,In Transit,Not Billed
SO-10008,20,2024-01-22,2024-02-12,CUST-008,Cloud Services Pro,MAT-7002,Graphics Card NVIDIA RTX,8,EA,1599.00,USD,P002,SO01,DC01,DIV01,OR,USER002,In Transit,Not Billed
SO-10009,10,2024-01-23,2024-02-15,CUST-009,Retail Solutions Europe,MAT-8001,POS Terminal Touchscreen,30,EA,499.00,EUR,P004,SO03,DC02,DIV03,OR,USER004,Delivered,Billed
SO-10009,20,2024-01-23,2024-02-15,CUST-009,Retail Solutions Europe,MAT-8002,Barcode Scanner Wireless,30,EA,149.99,EUR,P004,SO03,DC02,DIV03,OR,USER004,Delivered,Billed
SO-10010,10,2024-01-24,2024-02-18,CUST-010,Manufacturing Plus Inc,MAT-9001,Industrial PC Fanless,12,EA,1899.00,USD,P001,SO01,DC01,DIV03,OR,USER001,Processing,Not Billed
SO-10010,20,2024-01-24,2024-02-18,CUST-010,Manufacturing Plus Inc,MAT-9002,HMI Touch Panel 15 inch,12,EA,699.00,USD,P001,SO01,DC01,DIV03,OR,USER001,Processing,Not Billed
SO-10011,10,2024-01-25,2024-02-20,CUST-001,Acme Corporation,MAT-1005,Docking Station USB-C,20,EA,199.99,USD,P001,SO01,DC01,DIV01,OR,USER001,Confirmed,Not Billed
SO-10011,20,2024-01-25,2024-02-20,CUST-001,Acme Corporation,MAT-1006,Webcam HD 1080p,20,EA,79.99,USD,P001,SO01,DC01,DIV01,OR,USER001,Confirmed,Not Billed
SO-10012,10,2024-01-26,2024-02-22,CUST-003,Global Industries Inc,MAT-3003,Office Chair Ergonomic,50,EA,299.00,USD,P001,SO01,DC01,DIV01,OR,USER001,Processing,Not Billed
SO-10012,20,2024-01-26,2024-02-22,CUST-003,Global Industries Inc,MAT-3004,Standing Desk Adjustable,15,EA,599.00,USD,P001,SO01,DC01,DIV01,OR,USER001,Processing,Not Billed
SO-10013,10,2024-01-27,2024-02-25,CUST-002,Tech Solutions Ltd,MAT-2003,Rack Cabinet 42U,5,EA,1299.00,USD,P002,SO01,DC01,DIV01,OR,USER002,Confirmed,Not Billed
SO-10013,20,2024-01-27,2024-02-25,CUST-002,Tech Solutions Ltd,MAT-2004,UPS Battery Backup 1500VA,10,EA,449.00,USD,P002,SO01,DC01,DIV01,OR,USER002,Confirmed,Not Billed
SO-10014,10,2024-01-28,2024-03-01,CUST-004,Innovate Systems,MAT-1007,External Hard Drive 5TB,30,EA,129.99,USD,P003,SO02,DC01,DIV01,OR,USER003,In Transit,Not Billed
SO-10014,20,2024-01-28,2024-03-01,CUST-004,Innovate Systems,MAT-1008,USB Flash Drive 128GB,100,EA,19.99,USD,P003,SO02,DC01,DIV01,OR,USER003,In Transit,Not Billed
SO-10015,10,2024-01-29,2024-03-05,CUST-006,Digital Ventures Ltd,MAT-5003,Smart Watch Apple Watch,25,EA,399.00,GBP,P005,SO04,DC03,DIV02,OR,USER005,Delivered,Billed
SO-10015,20,2024-01-29,2024-03-05,CUST-006,Digital Ventures Ltd,MAT-5004,Wireless Earbuds AirPods,25,EA,179.00,GBP,P005,SO04,DC03,DIV02,OR,USER005,Delivered,Billed
